row,produto,ean,preco_7_dias,preco_14_dias,preco_21_dias,preco_28_dias,status,revisao_visual,observacao,source,source_page,image_url,title_found,optimized_path,optimized_bytes,original_width,original_height,processed_at
478,AZEITONA VDE DIZA FATIADA 2KG,7897765600469,60.47,61.19,61.47,61.76,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
479,AZEITONA VDE DIZA MEDIA 2KG,7897765600421,46.6,47.16,47.38,47.6,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
480,AZEITONA VDE DIZA S/CAROCO 150G SACHE,7897765601503,5.1,5.16,5.19,5.21,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
481,19 AZEITONA VDE DIZA S/CAROCO 155G,7897765600049,7.12,7.2,7.23,7.27,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
482,AZEITONA VDE DIZA S/CAROCO 80G SACHE,7897765601558,2.89,2.92,2.94,2.95,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
483,AZEITONA VDE LA PREFERIDA 500G,7891089100209,12.9,13.05,13.11,13.18,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891089100209.webp,32964,0,0,2026-07-07T13:40:35
484,374 AZEITONA VDE LA VIOLETERA 100G,47891089100016,5.12,5.18,5.2,5.23,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
485,AZEITONA VDE LA VIOLETERA 100G SACHE,7891089100575,3.42,3.46,3.48,3.49,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891089100575.webp,69796,0,0,2026-07-07T13:40:35
486,AZEITONA VDE LA VIOLETERA 150G SACHE,7891089447946,4.89,4.95,4.97,5,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
487,AZEITONA VDE LA VIOLETERA 200G,7891089100025,7.44,7.53,7.56,7.6,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891089100025.webp,35576,0,0,2026-07-07T13:40:35
488,AZEITONA VDE LA VIOLETERA 200G SACHE,7891089100360,4.8,4.85,4.88,4.9,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891089100360.webp,57818,0,0,2026-07-07T13:40:35
489,AZEITONA VDE LA VIOLETERA 360G PREMIUM,7891089100681,21.03,21.28,21.38,21.48,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
490,AZEITONA VDE LA VIOLETERA 500G,7891089100032,13.06,13.22,13.28,13.34,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891089100032.webp,47924,0,0,2026-07-07T13:40:35
491,AZEITONA VDE LA VIOLETERA FAT 120G SC,7891089447953,4.62,4.67,4.69,4.72,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891089447953.webp,51894,0,0,2026-07-07T13:40:35
492,AZEITONA VDE LA VIOLETERA FAT 160G SC,7891089018948,5.22,5.29,5.31,5.34,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7891089018948.webp,9116,0,0,2026-07-07T13:40:35
493,AZEITONA VDE LA VIOLETERA FAT 80G SACHE,7891089440534,3.62,3.67,3.68,3.7,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891089440534.webp,63662,0,0,2026-07-07T13:40:35
494,"AZEITONA VDE LA VIOLETERA FATIADA 1,8KG",7891089047788,57.86,58.55,58.82,59.1,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
495,AZEITONA VDE LA VIOLETERA FATIADA 160G,7891089450670,9.93,10.05,10.1,10.14,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
496,AZEITONA VDE LA VIOLETERA PIMENT 100G SC,7891089440541,13.55,13.72,13.78,13.84,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
497,AZEITONA VDE LA VIOLETERA PIMENTAO 200G,7891089100162,13.55,13.72,13.78,13.84,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
498,443 AZEITONA VDE LA VIOLETERA S/C 80G SACHE,7891089440558,3.66,3.7,3.72,3.74,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891089440558.webp,68068,0,0,2026-07-07T13:40:35
499,AZEITONA VDE LA VIOLETERA S/CAR 120G SC,7891089447939,4.48,4.53,4.55,4.57,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891089447939.webp,51894,0,0,2026-07-07T13:40:35
500,AZEITONA VDE LA VIOLETERA S/CAR 160G,7891089450694,10.05,10.17,10.22,10.27,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
501,AZEITONA VDE LA VIOLETERA S/CAR 160G SC,7891089018931,4.84,4.89,4.92,4.94,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
502,"AZEITONA VDE LA VIOLETERA S/CAROCO 1,8KG",7891089047740,66.23,67.02,67.34,67.65,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
503,AZEITONA VDE LA VIOLETERA S/CAROCO 300G,7891089100674,18.83,19.05,19.14,19.23,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
504,AZEITONA VDE M GOURMET 100G SACHE,7898695260488,2.22,2.24,2.25,2.27,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
505,"BACIA PLAST JAGUAR 1,5L COR SORTIDA",7896952500544,4.34,4.39,4.41,4.43,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
506,"BACIA PLAST JAGUAR 6,7L COR SORTIDA",7896952500377,9.06,9.17,9.21,9.26,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
507,BACIA PLAST JAGUAR 15L COR SORTIDA,7896952500391,16.47,16.67,16.75,16.83,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
508,BACIA PLAST JAGUAR 30L COR SORTIDA,7896952500407,31.01,31.38,31.53,31.68,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
509,"BACIA PLAST PURA CASA CANEL 20,0LT R3053",7898731140750,14.94,15.12,15.19,15.27,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
510,BALA ANIVERSARIO JUNCO COCO 400G,7896523100784,6.79,6.87,6.9,6.94,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
511,BALA ANIVERSARIO JUNCO IOG CRIST MOR400G,7896523103440,6.79,6.87,6.9,6.94,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
512,BALA ANIVERSARIO JUNCO LEITE COND 400G,7896523103457,6.79,6.87,6.9,6.94,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
513,BALA ARCOR 600G RECH MEL,7790580410810,13.27,13.43,13.5,13.56,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
514,BALA ARCOR 7BELO 500G FRAMBOESA,7891118025855,9.7,9.82,9.86,9.91,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891118025855.webp,65780,0,0,2026-07-07T13:40:35
515,BALA BUTTER TOFFE 400G CAFE EXPRESSO,7891118027293,16.81,17.01,17.09,17.17,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
516,BALA BUTTER TOFFE 400G CARAMELO SALGADO,7891118027279,14.24,14.41,14.48,14.55,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891118027279.webp,62380,0,0,2026-07-07T13:40:35
517,BALA BUTTER TOFFE 400G CHOCOLATE,7891118027255,14.15,14.32,14.38,14.45,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891118027255.webp,51656,0,0,2026-07-07T13:40:35
518,BALA BUTTER TOFFE 400G COCO,7891118027323,14.15,14.32,14.38,14.45,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891118027323.webp,50880,0,0,2026-07-07T13:40:35
519,BALA BUTTER TOFFE 400G INTENSE CACAU,7891118027347,16.81,17.01,17.09,17.17,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
520,BALA BUTTER TOFFE 400G INTENSE MENTA,7891118027354,16.81,17.01,17.09,17.17,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
521,BALA BUTTER TOFFE 400G INTENSE PISTACHE,7891118027309,16.81,17.01,17.09,17.17,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
522,BALA BUTTER TOFFE 400G INTENSE TRUFA,7891118027286,16.81,17.01,17.09,17.17,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
523,BALA BUTTER TOFFE 400G LEITE,7891118027262,14.15,14.32,14.38,14.45,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891118027262.webp,50654,0,0,2026-07-07T13:40:35
524,BALA BUTTER TOFFE 400G MACCHIATO,7891118027330,16.81,17.01,17.09,17.17,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
525,BALA BUTTER TOFFE 400G MARACUJA,7891118027316,14.15,14.32,14.38,14.45,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7891118027316.webp,49602,0,0,2026-07-07T13:40:35
526,BALA CARAMELO EMBARE 660G CHOCOLATE,7896259417330,21.19,21.44,21.54,21.64,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
527,BALA CARAMELO EMBARE 660G MEIO LEIT/CHO,7896259417309,17.11,17.32,17.4,17.48,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
528,BALA CARAMELO EMBARE 660G MEIO LEIT/COC,7896259417316,14.06,14.22,14.29,14.36,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
529,BALA CHITA MASTIGAVEL 500G ABACAXI,7896286621311,7.66,7.75,7.79,7.83,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
530,BALA CHITA MASTIGAVEL 500G SORTIDA,7896286621328,7.61,7.71,7.74,7.78,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
531,BALA DORI 500G CHICLE BOLETE T FRUTTI,7896058503012,10.47,10.59,10.64,10.69,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
532,BALA DORI DURA 500G MEL RECHEADA,7896058503098,10.47,10.59,10.64,10.69,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
533,BALA DORI MAST 500G YOGURTE 100 MORANGO,7896058503005,9.79,9.91,9.96,10,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
534,BALA ERLAN DURA 400G CAFE ESPRESSO,7896077076139,7.86,7.95,7.99,8.03,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
535,BALA ERLAN DURA 500G MENTINHA,7896077082598,6.53,6.61,6.64,6.67,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
536,BALA ERLAN MASTIGAVEL 500G FAMBROESA,7896077082604,5.68,5.74,5.77,5.8,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
537,BALA ERLAN MASTIGAVEL 500G GUTY MORANGO,7896077082628,5.68,5.74,5.77,5.8,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
538,BALA ERLAN MASTIGAVEL 500G MENTINHA,7896077082659,5.68,5.74,5.77,5.8,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
539,BALA ERLAN MASTIGAVEL 500G SORTIDA,7896077079352,5.68,5.74,5.77,5.8,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
540,BALA ERLAN MASTIGAVEL 500G TOFFEE LEITE,7896077082642,5.68,5.74,5.77,5.8,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
541,BALA ERLAN RECH 500G MEL,7896077082673,6.99,7.08,7.11,7.14,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
542,BALA ERLAN RECH 500G MORANGO CESTINHA,7896077082703,7.33,7.42,7.45,7.49,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
543,BALA ERLAN TOFFEE BOMBOM 500G,7896077078836,17.25,17.45,17.53,17.62,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
544,BALA ERLAN TOFFEE BOMBOM 500G SORTIDO,7896077078843,17.25,17.45,17.53,17.62,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
545,BALA FLORESTAL 500G CORACAO MORANGO,7896321014962,13.1,13.26,13.32,13.39,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
546,BALA FLORESTAL FLOPI 40G S/ACUCAR FRUIT,78918351,7.15,7.23,7.27,7.3,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
547,BALA FLORESTAL MAST 500G BRAZILIAN COFF,7896321028075,11.88,12.02,12.08,12.13,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
548,BALA FLORESTAL MASTIGAVEL 500G SORTIDA,7896321028471,6.03,6.1,6.13,6.16,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
549,BALA FLORESTAL MINT 500G HORTELA,7896321028440,8.3,8.39,8.43,8.47,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
550,BALA FREEGELLS 475G AZEDINHA MORANGO,7891151043076,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
551,BALA FREEGELLS 475G CEREJA,7891151043021,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
552,BALA FREEGELLS 475G EUCALIPTO,7891151043007,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
553,BALA FREEGELLS 475G EXTRA FORTE,7891151043014,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
554,BALA FREEGELLS 475G HORTELA,7891151043038,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
555,BALA FREEGELLS 475G MELAO REC CHOC BCO,7891151043090,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
556,BALA FREEGELLS 475G MENTA,7891151043045,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
557,BALA FREEGELLS 475G MORANGO,7891151043052,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
558,BALA FREEGELLS 475G SORT CHOC BCO,7891151043113,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
559,BALA FREEGELLS 475G SORT MIX AZUL,7891151043069,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
560,BALA FREEGELLS 475G SORT RECH CHOC,7891151043106,6.92,7,7.03,7.07,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
561,BALA GELAT DIPLOKO 12G OLHOFAM EMOJI PT,7898754690553,1.65,1.67,1.68,1.68,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
562,BALA GELAT DIPLOKO 12G OLHOS FAMINTOS,7898970162407,2.63,2.66,2.67,2.68,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
563,BALA GELAT DIPLOKO 12GOLHOS FAM UNIC POT,7898754690577,1.65,1.67,1.68,1.68,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
564,BALA GELAT DIPLOKO 15G BURGER GUMMY,7898970162896,1.52,1.54,1.55,1.55,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
565,BALA GELAT DIPLOKO 15G HOT DOG GUMMY,7898970162872,1.52,1.54,1.55,1.55,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
566,BALA GELAT DIPLOKO 15G PIZZA GUMMY,7898970162919,1.52,1.54,1.55,1.55,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
567,BALA GELAT DOCILE 70G BEIJO,7896451909381,4.25,4.3,4.32,4.34,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896451909381.webp,44478,0,0,2026-07-07T13:40:35
568,BALA GELAT DOCILE 70G URSINHO NATUR,7896451914644,4.25,4.3,4.32,4.34,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
569,BALA GELAT DOCILE 80G AMORAS,7896451908681,4.25,4.3,4.32,4.34,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896451908681.webp,57760,0,0,2026-07-07T13:40:35
570,BALA GELAT DOCILE 80G BANANA,7896451908810,4.25,4.3,4.32,4.34,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896451908810.webp,45342,0,0,2026-07-07T13:40:35
571,BALA GELAT DOCILE 80G COBRINHA CITR,7896451906168,4.25,4.3,4.32,4.34,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
572,BALA GELAT DOCILE 80G DENTE VAMPIRO,7896451906175,4.25,4.3,4.32,4.34,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896451906175.webp,46724,0,0,2026-07-07T13:40:35
573,BALA GELAT DOCILE 80G FRUTAS MIX DIV,7896451922656,4.25,4.3,4.32,4.34,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\destro\imagens\7896451922656.webp,47450,0,0,2026-07-07T13:40:35
574,BALA GELAT DORI 13G AMORA,7896058500950,0.74,0.75,0.75,0.75,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7896058500950.webp,61654,0,0,2026-07-07T13:40:35
575,BALA GELAT DORI 13G BANANA,7896058500899,0.74,0.75,0.75,0.75,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
576,BALA GELAT DORI 13G MINHOCA,7896058500936,0.74,0.75,0.75,0.75,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
577,BALA GELAT FINI 15G AMORAS,7898591450648,0.77,0.77,0.78,0.78,EXISTENTE_GLOBAL,OK_AUTO,Imagem ja existia no banco local; busca no Goias descartada.,,,,,C:\Users\edson\Downloads\venpro-banco-imagens\vila_nova\imagens\7898591450648.webp,54270,0,0,2026-07-07T13:40:35
578,BALA GELAT FINI 15G BANANAS,7898591450686,0.77,0.77,0.78,0.78,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
579,BALA GELAT FINI 15G BEIJOS MORANGO,7898591450662,0.77,0.77,0.78,0.78,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
580,BALA GELAT FINI 15G DENTADURAS,7898591450600,9.18,9.29,9.34,9.38,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
581,BALA GELAT FINI 15G MINHOCAS BRILHO,7898591450709,0.77,0.77,0.78,0.78,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
582,BALA GELAT FINI 15G TUBES MOR/LAR CIT,7898591454561,0.76,0.77,0.77,0.78,SEM_IMAGEM_GOIAS,PENDENTE,Nenhuma imagem do Goias Atacado passou nos filtros.,,,,,,0,0,0,2026-07-07T13:40:35
